ngram,influence
belt,0
quantity,0
oh_eight,0
fearful,0
bound,0
digestive,0
a_c_a,0
nutrition,0
tobacco,0
trauma,0
thirty_six,0
do,0
drove,0
reframe,0
common,0
flush,0
oppose,0
click,-1.309659157
sta,0
metabolize,0
concert,0
fifteen,-0.312742292
moxie,0
accomplishment,19.74920799
restabilize,-3.856882944
even,3.372118658
separately,0
hmm,0
abusive,0
overachiever,-2.059918954
powerless,-4.510102217
biologically,0
manipulation,0
freedom,0
wider,0
soun,0
scratch,0
narcotics_anonymous,0
whenever,0
statistical,0
wife,0
supervise,0
piss,0
home,0
peer,0
so,0
untreated,0
apparent,0
the_compass_center,0
difficult,0
lane,0
misinterpret,0
notify,0
blank,0
preference,0
slowly,0
inconvenience,0
remarkable,0
illustration,0
theraplay,-2.059995176
alumni,0
genetics,0
]|(,0
short,0
feel,0
nursing,0
root,0
embarrassment,0
trigger,0
whichever,0
box,0
stipulation,0
accept,0
correctly,1.484932077
tract,0
stro,0
point_one_six,0
take_home,0
nervous,0
u_a,0
occupy,0
honestly,0
sport,0
housing,3.794657215
orphan,0
fill,0
sharing,0
town,0
hardly,0
physiologically,0
bombardment,0
boisterous,0
equilave,0
citizen,0
cocaine,-4.159376803
direct,0
afghanistan,0
proof,0
disappointing,0
evaluate,0
zero_one,0
continuity,0
country_doctor,0
doctor_steve,0
state_of_washington,0
presently,0
reckless,0
tonic,0
b_a_c,3.023331978
euphoric,0
episode,0
overlap,0
thin,0
substantial,0
stability,-4.915476388
assertion,0
genetic,0
ethnicity,0
good,2.678587521
zero_two,0
exceed,0
ground,0
ambivalent,0
flare,0
attentive,0
take,0
primary,0
point_three_five,0
steven_martino,0
difference,0
injecting,0
integrate,0
point_oh_five,0
recall,0
influence,0
god,0
spin,0
indication,0
four_thirty,0
child,-13.27518462
comprehend,0
construct,0
commitment,0
zach,0
unconditional,0
eh,0
covert,0
post,0
smell,0
percep,0
explanation,0
bud,0
stu,0
comparable,0
diarrhea,0
permit,0
certainly,26.43690026
forty_two,0
spinal,0
ah,1.944304548
retelling,0
delirium,0
regard,0
middle,0
misconception,0
hangover,0
fix,0
twel,0
issue,0
tolerance,0
teeter,0
won,0
one_way,0
br,0
year,0
meanwhile,0
later,0
pencil,0
boil,0
expertise,0
penny,0
stabilization,0
order,-0.490434878
kiss,-1.218559741
greet,0
fee,0
offense,0
invasive,0
decipherable,0
chaos,0
though,-3.940628834
bat,0
individually,0
point_four_two,0
alrighty,0
optimistic,0
solid,0
team,0
pharmacy,0
instead,0.427587757
num,0
survivor,0
dental,0
mechanism,0
focal,0
havens,0
kick,0
point_oh_two,0
eighty_six,0
partly,0
aged,0
v_a,0
voice,0
referral,-8.841648777
flavor,0
reevaluate,0
point_two_six,0
four_five,0
letterhead,0
reek,0
food,0
logistic,0
involuntary,0
cautious,0
stand,0
recreational,0
ultimately,0
balancing,0
puking,0
numb,0
coors_light,0
fifth,0
judge,0
exercise,0
twelve,0
bothersome,0
hobby,0
dru,0
contributor,0
critter,0
earl,0
frighten,0
accord,0
career,4.204468313
occasional,0
one_on_one,0
whereabouts,0
neglect,0
personalized,0
ring,0
bernie,0
berenstain_bears,-2.059447455
celebrity,0
lovely,0
hot,1.375178968
jennifer,-2.700542139
loss,0
anniversary,0
grade,0
availability,0
occur,0
nine_one_one,0
head,0
tape,0
wo,0
teenager,0
same,-3.715031906
suicidal,0
young,0
too,0
physically,0.217991142
chief,0
secondly,0
notoriously,0
bob,0
deal,2.836029389
life,0
perform,0
noticed,0
basketball,0
enroll,0
pyramid,0
grow,0
isolate,0
[,0
significantly,0
carrot,0
sad,0
accomplishin,4.584936874
ativan,0
county,0
keenly,0
truthfulness,0
one_two_seven,0
before,-6.102336722
majority,0
breathing,0
complaint,0
theol,0
usual,0
cover,0
social,0
lot,0
overwhelmingness,0
unlike,0
upsetting,0
poisoning,0
hundred_and_forty,0
suit,0
transport,0
achieve,0
carnival,0.683957439
old,0
males,0
oops,0
wou,0
kid,-1.123024957
hopeful,0
shake,0
care,-0.974918996
homework,0
expensive,0
travel,0
therapy,0
sustain,0
five_point_three_six,0
alone,-2.876455237
proud,13.171594
addictive,0
guarantee,0
thu,0
granny,0
trust,6.583496486
throat,8.619601984
myopic,0
king_county,0
whom,0
accountable,0
stamp,0
compile,0
coffee,0
pina,0
one_twenty,0
|,3.430433542
start,-3.045728232
clinically,0
between,0
meal,0
conscious,0
correlate,0
party,2.364410999
big,0
broad,0
organizing,0
completely,0
laidback,0
biochemistry,0
hope,0
five_thirty,0
admire,5.404683377
cps,0
reas,0
catholic_family_services,-2.059431438
quick,0
the_compass,0
guideline,0
shoot,0
assess,0
rank,0
g,0
they,-1.43330581
ye,0
steven,-6.517548144
blackout,0
predisposed,0
forward,0
charlotte,0
obligate,0
roadblock,0
appeal,0
ahead,0
privilege,0
],-1.516791996
unit,0
incident,0.839055129
database,0
regular,0
seventy_fifth,0
hydrate,0
protocol,0
one_digit,0
judgmental,0
proven,0
target,0
action,0
yea,0
bellevue,0
these,0
detailed,0
remind,0
e_t_s,0
upswing,0
folder,0
uh,0
unfortunately,0
tool,0
unavailable,0
want,-4.26278777
continuum,0
couch,0
begin,0
acupuncture,0
barlab,0
postpone,0
note,0
artwork,0
taper,0
shower,0
outstanding,0
junkyard,1.782147087
p_cap,0
boys,0
upfront,0
ninety_one,0
heal,0
update,0
she,-1.753072415
final,0
deny,0
drown,0
soci,0
a_a,-2.550050862
micro,0
peak,0
surfing,0
never,0
vomit,0
certify,0
sweat,0
seventeen,0
question,-0.422641349
misprint,0
petition,0
explore,0
tuesday,4.037794413
confidential,0
hygienist,0
b_a_cs,0
half,0
stabilizer,0
wondering,0
extent,0
ga,0
problem,0
sponsees,0
dependence,0
bit,-3.077869979
warning,0
urinalysis,0
zack,0
point_oh_eight,0
gin,0
video,0
chunk,0
pedophile,0
experiment,0
log,0
beneath,0
recognition,0
participation,0
evolution,0
waver,0
externally,0
fear,0
point_two_zero,0
friend,3.311410227
management,0.822085363
appropriate,0
desperation,0
pressure,0
willpower,0
withdrawal,0
the_bar_lab,0
permanently,0
zero_three_five,0
pri,0
parental,0
pre,0
develop,0
probably,-2.311676509
utilize,0
straggly,0
dozen,0
pursuit,0
course,0
project,0
upgrade,0
package,0
decide,0
religious,0
nurse,0
almost,0
calculation,0
bond,0
organized,0
uncomfortable,0
ar,0
diagram,0
initial,0
relationship,0
people,-2.245140226
expression,0
best,0
oth,0
request,0
lunch,0
censor,0
available,0
sensitive,0
mmm,0
entertain,0
definitely,6.46712124
commute,0
insecure,0
wha,0
recreate,0
seed,0
marry,0
household,0
clearly,0
qualify,0
)|,-0.005236304
carol,0
linger,0
flap,0
leery,0
curve,0
what,2.110480763
examine,0
destination,0
sorta,0
absence,0
assessment,3.503682312
prevalent,0
equate,0
defin,0
point_one_four,0
rely,0
hispanic,0
checkup,0
poor,0
seventy_five,0
healthy,-25.15801884
pitcher,0
biphasic,0
act,-5.512343831
concrete,0
escalate,0
spontaneously,0
nameless,0.960453127
theirs,0
assertive,0
would,3.591863362
articulate,0
altering,0
sake,0
party_one_oh_one,0
unsought,0
ashamed,0
collaborate,0
snow,0
workplace,0
possibly,0
umbrella,0
resolution,0
routine,0
vehicle,0
farther,0
diabetes,0
community,0
beach,0
exclusively,0
janey,0
wine,0
i_o_p,0
seasonal,0
recipe,0
clothes,0
steady,0
punish,0
devoid,0
ex,0
lying,0
zoo,0
challenging,0
component,0
overly,0
hair,5.39703226
prol,0
specific,0
retell,0
movement,0
grandchild,0
midst,0
buck,0
television,0
captain_morgan,0
nothing,-1.276021975
economic,0
rent,0
rolling,0
approval,0
inde,0
individual,0
allow,0
fifty_one,0
lead,-13.12366196
inaccurate,0
pace,0
bout,0
basis,0
ni,0
firsthand,0
rationalize,0
snag,0
loaded,0
splash,0
point_six_eight,0
blow,0
somebody,0.703624183
nicotine,0
king_county_metro,0
residence_twelve,0
system,0
controlling,0
liken,0
celebrating,0
hand,0
touch,0
girls,0
cooler,0
aware,2.079874854
quality,0
reunification,-3.856879519
entire,0
comply,0.981407483
a_hundred_and_thirty_two,0
sleep,0
father,0
whirl,0
resentment,0
chat,0
rule,0
cooperate,0
prepare,0
compensation,0
afford,0
bottle,0
relearn,0
craw,0
quicker,0
overload,0
design,0
training,0
web,0
molester,0
sp,0
ourselves,0
artistic,0
account,0
average,0
reference,0
comfortable,0
neat,0
nature,3.72029534
reiterate,0
permission,0
risk,-7.037725725
prosecution,0
useful,0
tech,0
lad,0
a_thousand,0
offset,0
rift,0
path,0
fr,0
deeply,0
outpatient,8.033936547
momentum,0
acquaintance,0
grab,0
reading,0
suicide,0
fun,0
exciting,0
multitude,0
pertain,0
amends,0
strike,0
work,0
daily,-3.587473596
lousy,0
hesitate,0
metabolism,0
mommy,0
connection,0
square,0
situate,0
sample,0
whereas,0
able,0
formula,0
safe_babies_safe_moms,0
trim,0
longer,0
ti,0
black,0
culture,0
ability,0.454581894
feeling,0
transcript,0
vicious,0
robin,0
sidewalk,0
enlighten,0
g_h_b,0
evict,0
acceptance,0
row,0
token,0
fantasy,0
everywhere,0
shy,0
safeway,0
them,0
toothbrush,0
floor,0
interference,0
heck,0
hate,0
toothpick,0
deb,0
orientation,0
next,0.023549709
dancing,0
expand,0
aggressive,0
headlight,0
obnoxious,0
ideal,0
willing,3.223215867
both,0
concentrate,0
exactly,0
agree,0
gradually,0
can,1.228509851
column,0
until,0
sleepy,0
dif,0
band,0
noticing,0
opinion,7.787000664
sneakier,0
bonding,0
forgive,6.87212352
yep,0
skip,0
logical,0
brain,8.227329708
calibrate,0
late,0
personality,0
fault,0
helps,0
equivalent,0
happy,0
una,0
healing,0
know,-4.43929699
finish,-7.431616046
eight,0
linear,0
security,-7.22691675
vary,0
smart,0
wi,0
wow,10.82715132
seek,0
ton,0
central,0
recharge,0
crack,-15.34000136
adjust,0.369788672
chicken,0
calgon,0
awesome,-8.813686707
anymore,0
d,0
day,0
paraphernalia,0
hang,0
psychology,0
terribly,0
much,0
customized,0
confused,0
doubting,0
a,3.447155022
could,0
influenza,0
ball,0
scheme,0
followup,0
home_depot,0
certain,0
wedge,0
report,0
office,6.847274657
plat,0
maki,0
cereal,-5.357869456
decision,3.488865081
eaten,0
cost,0
perceptive,0
slight,0
controlled,0
wind,0
physiological,0
association,0
ask,-4.572574968
rec,0
err,0
gotta,-17.76913592
juggle,0
period,0
vocational,0
yup,0
especially,0
accrue,0
t_vs,0
gotcha,0
eligible,0
tummy,0
dylan,0
seventy_two,0
point_two_five,0
encompass,-4.32757213
stake,0
thoroughfare,0
emotion,0
worth,0
whatever,1.405834444
round,0
u_w,0
stipulate,0
slur,0
fan,0
eighteenth,0
than,0
point_one_zero,0
possible,0
impending,0
alleviate,0
right,-0.625439397
nor,0
give,0
club,0
unfortunate,0
illness,0
eventually,0
price,0
mine,0.577026049
capacity,0
feedback,0
officer,0
hole,0
clock,0
supportive,0
displeasure,0
lobby,0
husband,0
cottage,0
completion,0
victoria,0
huge,0
stressful,0
beyond,0
early,0
simple,0
personally,0
sixty_four,0
wouldn,0
naturally,0
failure,0
trained,0
catholicism,0
adats,0
informational,0
south_park,0
boost,0
awareness,0
drowsy,0
tailored,0
cloak,0
hung,0
determine,0
intentionally,0
frequently,0
acknowledge,0
strong,0
disappointment,0
salient,0
ice,3.743743953
tune,0
lab,0
image,0
rid,0
dirt,0
access_to_recovery,0
ava,0
hurdle,0
point_zero_nine,0
designate,0
caring,0
consistently,0
selfish,-16.72430259
connect,0
divide,0
intuitively,0
myopia,0
excite,0
ac,0
fatigued,0
into,-5.632378209
et,0
recap,-2.059929632
priorities,0
information,0
white,0
weed,-6.337315273
sparks,0
percocet,0
contingency,0
manipulative,0
pat,0
campus,0
volume,0
roughly,0
calories,0
brought,0
tonight,0
openness,0
fifty_five,0
lack,0
affect,0
pursue,0
two_hundred_and_eighty,0
point_oh_four,0
online,0
restitution,0
forth,0
seventy,0
mostly,0
mariju,0
volunteer,0
codependent,0
chance,-2.254106031
tyler,0
leaf,0
suffer,7.291675585
nec,0
poof,0
guide,0
my,0
fond,0
bleed,0
eye,0
come,0.764382502
prior,-6.858531818
six_fifty_eight,0
a_as,0
succ,0
authority,0
urge,0
disagree,0
okay,-2.332734963
two_oh_one,0
brutally,0
excited,0
microbrews,0
coat,0
commit,0
crowd,0
periodic,0
bag,0
free,0
pint,0
become,0
name,0
portion,0
although,0
candidate,0
nosey,0
base,4.953826884
blink,0
afternoon,0
sociable,0
manic,0
decease,0
intake,-2.600006963
wad,0
fashion,0
likely,0
eighty_five,0
im,0
wor,0
straws,0
glue,0
phenobarbital,0
circumstance,0
cliche,0
alcoholics_anonymous,0
lilli,0
reminds,0
finance,0
psychological,0
diet,0
sum,0
spontaneous,0
ketamine,0
overfed,0
garbage,0
coping,0
david,0
goodnight,0
introduce,0
sometimes,1.365043911
medication,-0.060577148
sharp,0
sun,0
sorry,0
skin,0
personalize,0
pro,0
peop,0
understandable,0
c_d_i_o_p,0
throw,0.260838398
facilitator,0
ma,0
auntie_steve,0
ron,0
magical,0
talent,0
reject,0
reestablish,0
stoplight,0
incorporate,0
groggy,0
chapter,0
gender,0
knock,0
style,0
outcome,0
empty,0
bug,0
accommodate,0
bare,0
convert,0
nurturing,0
appoint,0
amenable,0
source,0
punch,0
benchmark,0
r_ns,0
falcon,0
hipaa,0
undoubtedly,0
mir,0
curiosity,0
participant,0
loosen,0
toward,-1.722286019
cross,0
blurt,0
haven,0
remember,0
swedish,0
decent,0
explain,0
soothe,0
cream,0
hurry,4.294999038
guidance,0
h_i_v,0
buy,0
present,2.819138587
wellbutrin,0
literally,0
reconnect,0
grocery,0
succeed,0
dedicate,0
lime,0
hindsight,0
classify,0
swell,0
print,0
overnight,0
multiple,0
unbelievable,0
purpose,0
differently,0
step,0
calendar,0
single,0
horse,0
rocket,0
liquor,0
suck,0
anticipate,1.843141602
desire,0
uncertainty,3.702678349
cedar_hills,0
company,0
five_billion,0
pebble,0
offering,0
complex,0
record,0
enrol,0
primarily,0
credit,0
fire,0
employ,0
sweetheart,0
board,0
contemplate,0
scary,1.037220921
steves,0
baggage,0
kinds,0
ph,0
horrible,0
willingness,0
parent,6.411201048
impair,0
codependence,0
miniaturize,0
dope,-23.69064688
drugging,0
patience,0
unless,0
euphoria,0
oba,0
divorce,0
walking,0
similarly,0
irresponsible,0
handy,0
angry,0
besides,0
uncontrollable,0
rear,0
duh,0
choke,0
whoever,0
frat,0
r_c_k_c,0
taste,0
seven_thirty,0
moon,0
buying,0
gentle,0
th,0
usually,0
nice,0
window,0
roommates,0
elevate,0
guy,5.395986362
dunno,0
purchase,0
straight,0
yourself,0
february,0
piece,0
as,0
sip,0
previously,0
rod,0
drop,0
humorous,0
often,-1.972017469
intern,0
constant,0
outside,0
automatic,0
hundred,0
highlight,0
unknown,0
dash,0
point_one,0
acute,0
st,0
continuous,0
judging,0
everyday,0
intense,0
accurate,0
reliable,0
document,0
celebratory,0
minute,0
last,-2.599726446
percentage,0
realise,0
slow,0
wherever,0
tory,0
mama,0
handful,0
direction,0
man,0
he,-4.235523373
planning,0
fourteen,0
involvement,-4.864641915
cognitive,0
outgrow,0
confuse,0
plate,0
meet,0
defend,0
sabotage,0
funny,0
involved,0
addiction,-14.29417839
stepfather,0
unfold,0
carla,0
anyway,0
bloodstream,0
outing,0
rescue,0
race,0
whisper,0
resent,0
integral,0
through,-7.364823119
adamantly,0
deficiency,0
payment,0
gung,0
removal,0
grand,0
]|[,0
match,0
needing,0
constantly,0
toddler,0
harshly,2.223854257
advocate,0
sk,0
hook,0
really,3.533582681
friends,0
negotiate,0
drank,0
upside,0
competent,0
entail,0
cou,0
speak,0
trimming,0
identical,0
processing,0
sounds,0
challen,0
despite,0
fret,0
c_p_s,3.88511364
potent,0
downtown,0
assumption,0
hospital,0
lubricant,0
balk,0
beers,0
numerous,0
uproot,0
afraid,8.614006248
ne,0
meant,0
theme,0
making,0
driver,0
hell,0.750457182
auction,0
heard,0
adorable,-2.059478982
gut,0
special_k,0
all,0.369230907
wanna,0
essentially,0
cooking,0
lastly,0
which,0.039552613
quiet,0
bowl,-3.816348598
still,0
term,1.737386076
court,0
three_seven_two,0
hm,0
staff,0
everett_avenue,0
sluggish,0
graphic,0
figure,0
how,-1.384355403
neglected,0
shock,0
pin,0
arrive,0
ocean,0
sugary,0
active,0
element,0
busy,0
overlook,0
overwhelm,0
),0
pike_market_clinic,0
ticket,0
someone,0
lean,0
appointments,0
share,0
sunday,0
equila,0
compare,0
menopause,0
twenty_f,0
future,0
instance,0
when,1.059952158
grip,0
interdependent,0
happiness,0
men,0
ignore,0
thousand,0
feed,0
caught,0
psychologically,0
improvement,0
cheap,0
cougar,0
lawyer,0.494816999
manager,0
subtly,0
extreme,2.956930432
value,0
twice,0
environment,0
thirty_two,0
entirely,0
greasy,0
limited,0
flying,0
transfer,0
aw,0
calm,0
supreme_court_justice,0
notice,0
crackare,0
girl,0
tom,0
pad,0
thing,-0.666992914
successfully,0
spear,0
demonstrate,0
funding,0
interfere,0
ju,0
everybody,0
miracle,0
pull,0
safeguard,0
cold,0
least,0
long_island_iced_teas,0
cry,0
see,-2.556349955
story,-14.67870418
courage,6.101413958
sigh,0
coors,0
rock,0
*|(,0
depend,0
cap,0
rapid,0
elate,0
imply,0
scene,0
cat,1.436809252
relative,0
dramatic,0
overboard,0
deck,0
medicine,-23.37029823
convenient,0
obviously,0
ninety_five,0
warmer,0
restaurant,0
independent,0
the_ave,0
sign,0
interpreting,0
maintain,0
drastic,0
defensive,0
attendant,0
bos,0
sometime,0
analogy,0
stronger,0
beading,0
meaning,0
sexually,0
consistency,0
stressed,0
beep,-2.059450582
chir,0
productive,0
go,-1.242738446
jackie,0
procrastinate,0
fortify,0
breakthrough,0
rat,0
depressant,0
entering,0
model,0
un,0
aunt,0
twenty_nine,0
varies,0
suppress,0
generously,0
magnitude,0
like,3.01161247
couldn,0
teacher,0
version,0
severity,0
group,-5.314706178
typical,-5.257865325
lifeguard,0
aim,0
newspaper,0
further,0
boot,0
pray,0
probing,0
observant,0
conclude,0
equivalence,0
holiday,0
more,3.739549177
dose,4.716268281
human,0
severe,0
complain,0
involves,0
nauseous,0
whole,0
earlier,0
liquidy,0
consistent,0
we,-5.438774565
oh,10.95562607
max,0
lubricate,0
encounter,0
ambulance,0
uprooting,0
soak,0
recommend,-9.904276145
abundant,0
agreement,0
comment,0
react,0
point_nine,0
the_u_s_department_of_health_and_human_services,0
diagnose,0
spite,0
third,0
briskly,0
sheer,0
hypothetical,0
house,0.553109934
emulate,0
overreact,0
ride,4.054722278
ruin,0
hesitation,0
five,0
tw,0
trouble,0
landscaping,0
part,0
properly,0
focused,0
educate,10.28686441
cope,0
quit,-8.077755522
transition,0
relapse,-2.106938464
venue,0
alternative,0
collect,0
forget,0
lodge,0
irritability,0
drug,-2.916203637
seven,0
tribal,0.390744973
point_four_five,0
ninety_nine,0
tumble,0
faster,0
domestic,0
country,0
ser,0
open,0
mentor,0
ain,0
jewelry,0
cheif,0
orange,0
valley,0
devote,0
impairment,0
fourth,0
confusing,0
drink,-4.616078639
dehydrate,0
overwhelmed,0
responses,0
totally,0
living,0
himself,0
at,0
chosen,0
justice,0
opening,0
obstacle,0
jesus,0
nose,0
brave,0
charge,0
paper,-15.05780942
james,0
scott,0
ritual,0
thirty_fifth,0
search,0
long,-0.271327433
off,-1.233222551
gai,0
mind,0
tension,0
brand_new,0
whistle,0
well,3.837032743
d_u_i,0
gathering,0
two_thousand_and_five,0
relate,0
ounce,0
conclusion,0
eval,0
evergreen,0
counsel,0
turn,2.83091302
distract,0
shooting,0
essence,0
steal,0
number,0
hilarious,0
profession,0
similarity,0
stranger,-4.345290162
microbrew,0
c_d_a_c,0
various,0
thereabouts,0
baby,0
tilted,0
money,0
point_zero_four,0
exhibit,0
easter,0
misunderstood,0
literacy_council,0
bla,0
oh_two,0
key,-1.072835999
paradoxical,0
pretty,2.237428327
federal,0
sundown,0
correct,0
fir,0
hammer,0
player,0
second,0
finger,0
point_one_two,0
immune,0
publicity,0
male,0
vindication,0
illustrates,0
u,0
blur,0
eclectic,0
option,7.510933339
brace,0
expose,0
hassle,0
t_v,0
glitch,0
moment,-9.29423094
exhaust,0
license,0
loo,0
roller,4.283785259
reassessment,0
twenty_eight,0
stated,0
caucasian,0
welcome,5.40920445
magic,0
communicate,0
eliminate,0
here,0
super,0
twenty_third,0
frustrated,0
admit,0
orient,0
permanent,0
four_oh_one,0
crappy,0
um,0
denial,-16.95337117
patricia,0
perspective,0
twenty_seventh,0
belligerent,0
month,-5.53934097
foresee,0
ig,0
suppose,-1.212432114
upbringing,0
childcare,0
welfare,0
job,0
heightened,0
who,0
mike,0
access,0
tylenol_two,0
forty_seven,0
biological,0
limit,0.893312842
serenity,0
pound,0
dissatisfy,0
front,0
empathy,0
crew,0
contain,0
regret,0
ninetieth,0
breathalyze,0
diabetic,0
progressively,0
aid,0
input,0
date,0
darn,0
expectation,0
natural,4.992946876
evals,0
thi,0
impressed,0
sheet,0
negative,14.97777298
gift,0
tennis,0
vulnerable,0
plane,0
form,0
cough,0.979259368
hydrated,0
valuable,0
asleep,0
rem,0
regardless,0
ave,0
shouldn,0
color,0
pair,0
shot,0
family,-1.185757961
senior,0
yard,0
wasting,3.94429734
trait,0
sickness,0
concen,0
picnic,0
listen,0
icky,0
any,0
son,-3.654081703
sixty_five,0
crave,0
isn,0.311960332
sporadic,0
advisable,0
tea,0
dead,0
chain,0
reputation,0
replace,0
lose,0.691175263
field,0
drawing,0
sprung,0
p_m_s,0
groove,0
chemical,0
immediately,0
worm,-2.060031278
blare,0
alphabet,0
surgery,0
nonsmoker,0
decides,0
roll,0
regularly,0
construe,0
deposit,0
height,0
purple,0
build,0
overstate,0
comical,0
confident,0
relation,0
explode,4.609280926
birth,0
understand,0
independence,0
wisdom,0
death,0
autumn,0
june,0
ninth,0
pleasure,0
unexpected,0
depress,0
seg,0
hit,-3.72841991
contrary,0
mellow,0
worsen,0
write,0
n_a,-1.518083942
generally,0
dry,0
two,-1.364439985
dangerous,-3.224365766
judgment,0
si,0
pas,0
twenty_one,0
reflect,0
engrained,0
motivation,0
overall,0
large,0
d_s_h_s,0
invisible,0
muscle,0
misperception,0
counselor,3.824127813
separate,0
immediate,0
commend,0
celebrate,0
shame,0
strange,0
contribute,9.983273595
telephone,0
enjoyed,0
intelligent,0
hasn,1.331946112
talkativeness,0
treat,-1.450264212
adult,0
book,0
quarter,0
chair,0
intensive,2.945441354
p_m,0
respond,0
|[,-4.876884777
sense,0
realistically,0
plug,0
to,-1.168509463
summer,1.792956553
celebration,0
twenty_five,0
relax,0
one_eight,0
couple,-2.387226343
substances,0
mixer,0
talk,3.291137884
very,7.19361094
road,-2.542808578
comforting,0
progress,5.939451995
experienced,0
walk,0
inventory,0
phone,0
spoken,0
gap,0
qui,0
motor,0
around,0
socialness,0
an,0
director,0
unsupervised,0
actuality,0
flash,0
perimenopausal,0
two_point_one_one,0
disbelief,0
long_i,0
forty,0
shape,0
brandy,0
researcher,0
overweight,0
goof,0
proba,0
violence,0
fancy,0
shade,0
hygiene,0
flight,0
cell,0
strap,0
monday,0
specifically,0
beforehand,0
yawn,0
inhibition,0
forty_third,0
basement,0
raise,-2.665230889
three_nine,0
edge,0
paranoid,0
didn,0
add,0
math,0
point_one_five,0
theologian,0
operate,0
intoxicating,0
y_v_c,0
meaty,0
gal,0
else,0
stance,0
martino,-8.469092146
sophomore,0
symptom,0
motivating,0
tuinal,0
point_three,0
mode,0
nineteen,0
change,-3.509056357
summary,0
point_one_one,0
performance,0
youre,0
smoked,0
back,0
expect,0
misunderstand,0
inject,0
intervene,0
total,0
accident,0
one_hundred,0
tr,0
gauge,0
weeknight,0
custody,8.322415028
soft,0
help,0.025362198
twenty_eighth,0
marvelous,0
map,0
being,0
member,0
dr,0
li,0
undecided,0
generation,0
seattle,0
a_hundred,0
vomiting,0
pile,0
jeopardize,0
him,-0.377436119
train,-0.968098499
identify,0
zero_five,0
weight,2.472174303
mood,0
tire,0
unaddressed,0
escape,0
tornado,0
may,0
osmosis,0
rest,0
allude,0
bunny,0
thanksgiving,0
general,-0.881668766
gist,0
prevention,0
neighbor,0.685127498
ultimatum,0
se,0
thirty_first,0
own,0
remove,0
reverse,0
rewarding,0
save,0
prison,0
stick,0
playing,0
hello,0
cindy,0
one_zero,0
focus,0
obtain,0
pack,0
m_d_m_a,0
married,0
affirmation,0
co,0
bib,0
exaggerated,0
intolerant,0
follow,0
regain,6.820973875
ninety,0
injure,0
wallet,0
dependency,0
nee,0
visual,0
kristi_hartman,0
fatigue,0
anything,-3.612317378
psychedelics,0
wretched,0
already,-12.0861949
empathize,0
mistake,4.980981802
glass,0
fool,0
v_c_rs,0
safely,0
others,0
jeff,-2.059455562
friday,-2.442281207
compliance,0
ultimate,0
budget,0
ago,0
unhappily,0
